minutes_watched,CLV,region,channel,1,2,3,4,5,6,7,8,PCA_PC1,PCA_PC2,GMM_Segment
3197.0,205.42,2,4,0,0,0,1,0,0,0,0,1.3785311265696263,-0.2643120417260562,0
63.0,149.99,0,1,1,0,0,0,0,0,0,0,-2.1517835537872747,-1.2488764627762612,3
605.0,119.0,2,2,0,1,0,0,0,0,0,0,1.6487438029858228,-0.2631227095716403,0
20.0,240.0,2,4,0,0,0,1,0,0,0,0,1.2533265985942676,-0.16208207219911736,0
245.0,184.36,1,4,0,0,0,1,0,0,0,0,-0.5380226090465489,1.0263788739955935,2
259.0,418.63,0,3,0,0,1,0,0,0,0,0,-3.185085743565361,2.0525574508104745,2
5456.0,245.17,0,1,1,0,0,0,0,0,0,0,-2.4627550619623393,-0.6305872528168087,3
247.0,177.98,1,3,0,0,1,0,0,0,0,0,-0.9198589663277427,3.0398061835065553,2
160.0,283.44,0,3,0,0,1,0,0,0,0,0,-2.7253979060176916,1.3545461520254236,1
77.0,295.97,1,1,1,0,0,0,0,0,0,0,-1.2018304215320352,1.728487849552312,2
231.0,202.88,0,3,0,0,1,0,0,0,0,0,-2.4511595764108143,0.9416976114881136,1
611.0,149.99,0,4,0,0,0,1,0,0,0,0,-1.866774376654334,-1.3676142206452395,3
5915.0,366.45,1,1,1,0,0,0,0,0,0,0,-1.42771209355875,2.2302819605025204,2
816.0,82.58,2,3,0,0,1,0,0,0,0,0,1.3872260327232027,1.0930546815068891,0
1312.0,269.97,2,3,0,0,1,0,0,0,0,0,0.7508959557142226,2.069134129487658,0
28988.0,253.93,2,8,0,0,0,0,0,0,0,1,0.7384500746578853,0.9081017869558912,0
1319.0,193.63,0,1,1,0,0,0,0,0,0,0,-2.2972597246926645,-0.9943853916829692,3
9158.0,53.94,0,1,1,0,0,0,0,0,0,0,-1.8033694734977086,-1.5263857703070922,3
51411.0,449.42,2,3,0,0,1,0,0,0,0,0,0.25963792500688854,4.1864221235952765,2
2812.0,207.12,1,3,0,0,1,0,0,0,0,0,-1.012889835475698,3.2508782411875705,2
